nombre,sector,cohorte,descripcion,slug
KOWIIK,Ecommerce,SEPT25,Kowiik es el centro de ayuda de la energía,kowiik
Koopey Club,Ecommerce,SEPT25,Marca de ropa con el objetivo de devolver la elegancia.,koopey-club
OnePool,Finanzas,SEPT25,"OnePool ofrece pagos flexibles, aumentando las ventas de empresas",onepool
GBTC FINANCE,Finanzas,SEPT25,El exchange cripto que une tiendas físicas y plataforma online,gbtc-finance
Papira Club,Ecommerce,SEPT25,Transformamos momentos personales en objetos aesthetic,papira-club
Showee,Ecommerce,SEPT25,Plataforma integral para contratación y gestión de artistas,showee
Vet2Go,Salud,SEPT25,App pet-care número 1 del mercado,vet2go
SportCity,Retail,SEPT25,Cadena de tiendas de deporte,sportcity
LERIUM,Finanzas,SEPT25,Simplificamos la inversión inmobiliaria.,lerium
Quelton,Ecommerce,SEPT25,Marca de ropa femenina,quelton
TuParty,Gaming,SEPT25,La app que conecta DJs y público para elegir la música en fiestas,tuparty
Vulnerabbit,Deeptech,SEPT25,Ciberseguridad accesible y automatizada para startups y pymes.,vulnerabbit
Spanish is cool,Educación,SEPT25,Plataforma e-learning de español para extranjeros,spanish-is-cool
ROLA Music,Sin definir,SEPT25,Convierte los fans de tu música en ingresos estables para crecer,rola-music
Nexi Health,Salud,SEPT25,Dispositivo médico software para la salud mental,nexi-health
Scennio,HORECA,SEPT25,La plataforma all-in-one que revoluciona la gestión del ocio,scennio
OPOSPILLS,Educación,SEPT25,"Si tienes corazón de profe, oposita y consigue tu sueño",opospills
MATCH biosystems,Salud,SEPT25,Conservamos compuestos biológicos.,match-biosystems
ODAS,Construcción,SEPT25,Servicio especializado en oficinas que une diseño y gestión,odas
BDEBRUNO,Ecommerce,SEPT25,Marca de accesorios premium para perros made in Spain,bdebruno
Cartonlab,Retail,SEPT25,"Cartonlab: diseño en cartón para eventos, ferias y retail.",cartonlab
INGLESPOL,Educación,SEPT25,Academia online de inglés especializada en oposiciones,inglespol
tuki.fm,Ecommerce,SEPT25,Crea tu propia ticketera y empieza a vender entradas hoy mismo,tuki-fm
CANTERA DE EMPRESAS,Educación,SEPT25,Formamos el talento tecnológico que las empresas necesitan,cantera-de-empresas
treintamástreinta,Turismo,SEPT25,La primera tarjeta cultura para mayores de treinta años.,treintamastreinta
Pandox,Retail,SEPT25,Plataforma de fidelización inteligente para supermercados,pandox
UXPay Solutions,Deeptech,SEPT25,"La nueva forma de vender: autónoma, segura y eficiente",uxpay-solutions
HeyThalia,IA,SEPT25,"Thalia, la asistente con IA de tu hotel",heythalia
Puchades,Retail,SEPT25,Tu partner de maquinaria para la industria del plástico,puchades
Veriveri,Finanzas,SEPT25,Evitamos multas de Verifactu.,veriveri
Savvy Tech Hotels,Turismo,SEPT25,Ayudamos al hotel a fidelizar a los clientes de Booking.,savvy-tech-hotels
Dipcioso,Alimentación,SEPT25,Sin descripción publicada en la ficha.,dipcioso
ENARTI,Educación,SEPT25,Integra IA en tu empresa de forma legal y personalizada.,enarti
Bronze,IA,SEPT25,Reimaginando las operaciones de restaurante,bronze
Jurium,IA,SEPT25,Centralizamos la comunicación de despachos con sus clientes.,jurium
AsFIn,Finanzas,SEPT25,La plataforma que conecta pymes y asesores financieros,asfin
Climind,Salud,SEPT25,Software de medición del clima laboral en tiempo real,climind
ALIO ENERGÍA,Retail,SEPT25,Comercializadora eléctrica para clientes residenciales,alio-energia
Hundred,Sin definir,Alumni,La mejor burger posible al mejor precio posible.,hundred
BusUp,Sin definir,Alumni,Aliado tecnológico para una movilidad corporativa eficiente,busup
Internxt,Sin definir,Alumni,"Internet privado, seguro y sostenible, que respeta a las personas",internxt
Shakers,Sin definir,Alumni,Reinventando el trabajo,shakers
Singularu,Sin definir,Alumni,Firma de joyas accesibles para el día a día,singularu
Smileat,Sin definir,Alumni,La revolución de la alimentación infantil.,smile-eat
Waynabox,Sin definir,Alumni,Viajes sorpresa en avión o por carretera,waynabox
Zapato Feroz,Sin definir,Alumni,Calzado que respeta la forma y el desarrollo natural del pie.,zapato-feroz
flowww,Sin definir,Alumni,"Ecosistema digital líder para salud, belleza y bienestar.",flowww
Dcycle,Sin definir,Alumni,Impulsando a las pymes ante la revolución de la sostenibilidad.,dcycle
Flip Flow,Sin definir,Alumni,La plataforma de inteligencia y acción más avanzada para retail.,flip-flow
Saigu Cosmetics,Sin definir,Alumni,Maquillaje natural y ecológico de proximidad,saigu-cosmetics
Pompeii,Sin definir,Alumni,Calzado y ropa sostenible para tu día a día.,pompeii
Quibim,Sin definir,Alumni,Transformamos las imágenes médicas en predicciones útiles.,quibim
Skin Molecule X,Sin definir,Alumni,Nutricosmética basada en evidencia científica y resultados reales,skin-molecule-x
Imperia SCM,Sin definir,Alumni,Software de optimización de la cadena de suministro.,imperia-scm
Fourvenues,Sin definir,Alumni,Software de gestión para organizadores de eventos.,fourvenues
Del Poble,Sin definir,Alumni,Cadena de pizzerías al horno de leña,del-poble
Stally,Salud,SEPT25,Solución que ayuda a personas con discapacidad visual.,stally
RIDE PETAL,Salud,SEPT25,Bicis eléctricas con cargador para iPhone y extracómodas,ride-petal
Ballify,Sin definir,SEPT25,Digitalizamos y automatizamos la gestión de escuelas de pádel,ballify
I Love Ferry,Turismo,SEPT25,"Comparador de billetes de ferry: España, Marruecos, EEUU y Bahamas",i-love-ferry
CHERUBINA,Retail,SEPT25,Marca referente en moda femenina de invitadas.,cherubina
Nexa,Salud,SEPT25,Robot de entrenamiento y readaptación muscular,nexa
ADN CANINO,Salud,SEPT25,Identificación de animales por ADN para mejorar el civismo.,adn-canino
Raw Coffee,Sin definir,MAR25,Cadena de gimnasios de verdad,raw-coffee
NovaHiring,Sin definir,SEPT24,Software para automatizar procesos de selección,novahiring
Evenergía,Sin definir,MAR25,"Distribuidor, instalador y plataforma de cargadores eléctricos.",evenergia
Volup,Sin definir,MAR25,Marketplace de comida gourmet,volup
Azulblanco Bagno,Construcción,MAR25,Pavimentos y revestimientos cerámicos para profesionales,azulblanco-bagno
Profes Nómadas,Educación,MAR25,Inserción laboral de docentes españoles en el extranjero.,profes-nomadas
Colorai,IA,MAR25,La tecnología que revela los colores que te favorecen,colorai
Futura Tickets,Sin definir,SEPT24,Control de entradas falsas para eventos.,futura-tickets
ruit,Sin definir,SEPT24,Ofrecen un software a retailers de la segunda mano,ruit
DataQu,Sin definir,MAR25,Transforma datos en decisiones estratégicas,dataqu
Cuico Health,Salud,MAR25,Startup de salud digital para monitoreo remoto de pacientes,cuico-health
Preciso,Sin definir,MAR25,Plataforma para mejorar la gestión del absentismo laboral.,preciso
Tetsuo,Sin definir,SEPT24,Fabricación de componentes de fibra de carbono.,tetsuo
Massa Greens,Sin definir,MAR25,Microvegetales gourmet al alcance de todos.,massa-greens
DVELAS,Sin definir,SEPT24,Reutilización de velas náuticas para el diseño.,dvelas
Smusix,Sin definir,MAR25,App que descubre canciones antes de que sean virales,smusix
Querubín Bordado,Sin definir,MAR25,Talleres y venta de kits de bordado.,querubin-bordado
KeepCool,Sin definir,MAR25,Innovación para la conservación de alimentos,keepcool
Ainovis,Sin definir,SEPT24,Motor de imagen médica impulsado por IA generativa,ainovis
PideFácil,Sin definir,SEPT24,Gestionar los pedidos entre restaurantes y proveedores alimentarios,pidefacil
RedEco,Sin definir,SEPT24,Desarrollar y medir estrategias de sostenibilidad en manufactura,redeco
Signos IoT,Sin definir,MAR25,Seguridad y datos en almacenes logísticos,signos-iot
TerraceLab,Sin definir,SEPT24,Democratiza el acceso al poder de la naturaleza.,terracelab
Virtua Broker,Sin definir,MAR25,Plataforma para enviar pagos internacionales con blockchain.,virtua-broker
Nexafirma,Sin definir,SEPT24,Plataforma tecnológica especializada en firma electrónica,mensajero-digital-nexafirma
Zoundroom,Sin definir,MAR25,Agregador de herramientas para músicos.,zoundroom
Samo Sports,Sin definir,MAR25,Revolucionando el pádel con estilo,samo-sports
Labia,Sin definir,SEPT24,Productividad y formación de equipos de televenta.,labia
Coliviner,Sin definir,SEPT24,Plataforma de casas compartidas.,coliviner
Hangover of Fashion,Sin definir,SEPT24,Hangover of Fashion es una marca de bolsos made in Spain.,hangover-of-fashion
Plaspy,Sin definir,MAR25,Tecnología de rastreo inteligente para empresas y usuarios,plaspy
Geoleads,Sin definir,MAR25,Automatiza la búsqueda y envío de emails a contactos objetivo,geoleads
Agrointel,Sin definir,SEPT24,Monitorización de cultivos para optimización de riegos.,agrointel
Maat Impact,Sin definir,SEPT25,Plataforma para facilitar la gestión y fomentar el voluntariado,maat-impact
Jaippy,Sin definir,MAR25,Herramienta para mejorar las valoraciones online de los hoteles.,jaippy
Amiqa Tech,Sin definir,MAR25,Automatización inteligente para hoteleros pequeños,amiqa-tech
Fitai Labs,Sin definir,SEPT24,Innovación para una vida saludable,fitai-labs
Friendog Labs,Sin definir,MAR25,App integral para el bienestar canino,friendog-labs
Liceia.ai,Sin definir,MAR25,Genera test y casos prácticos para academias de oposiciones.,liceia-ai
Bewoman360,Sin definir,SEPT24,Suelo pélvico y entrenamiento online,bewoman360
IGM Facilities Management,Sin definir,MAR25,Plataforma para la gestión de empresas de servicios.,igm-facilities-management
Moradai,Sin definir,SEPT24,La primera solución de certificación de residencia del mercado.,moradai
Vico,Finanzas,SEPT24,Optimiza tus gastos y gestiona todo desde una única app,vico
Roomeo,Turismo,MAR25,Opciones de alojamiento y una experiencia más real para viajeros,roomeo
Neety,Sin definir,SEPT24,Agente de automatización all-in-one para marketing y ventas,neety
Biotasmart,Salud,SEPT24,Plataforma de bienestar,biotasmart
CaranvaSports,Sin definir,SEPT24,Una plataforma para alquilar material deportivo donde quieras.,caranvasports
Ocbo,Sin definir,MAR25,Automatiza la documentación para transporte de carga,ocbo
Tokencrowd,Finanzas,MAR25,Wealthtech de inversión alternativa tokenizada.,tokencrowd
Innzpira,Sin definir,SEPT24,Reducimos tiempo y costes en recursos humanos,innzpira
Hi Beauty,Sin definir,SEPT24,Suscripciones de belleza y skin care,hi-beauty
Encuentra tu Fisio,Salud,MAR25,Plataforma de fisioterapia especializada a domicilio.,encuentra-tu-fisio
Mydance,Sin definir,SEPT24,Plataforma social de baile.,mydance
Vandalstop,Sin definir,MAR25,VandalStop: en tu seguridad vale más prevenir que curar.,vandalstop
Elevall Grúas,Construcción,MAR25,Grúa plegable de elevación por fachada.,elevall-gruas
ELdeS,Sin definir,MAR25,Plataforma para aprender lengua de signos.,eldes
Fliinow,Sin definir,SEPT24,Plataforma para comprar y pagar vuelos a plazos.,fliinow
HERMES,Sin definir,SEPT24,Optimizar el rendimiento de vehículos en competición.,hermes
Gradhoc,Sin definir,SEPT24,Refrigeración inteligente para un futuro más frío.,gradhoc
FETĒN,Sin definir,SEPT24,Cosmética masculina premium y sostenible.,feten
Nob 166,Sin definir,SEPT24,Investigación y desarrollo de soluciones biocidas antimicrobianas,nob-166
Alaska Circular,Retail,MAR25,Ayudamos a fabricantes a vender sus excedentes de muebles y deco.,alaska-circular
Sanicoach,Sin definir,MAR25,Plataforma de apoyo psicológico y académico para sanitarios.,sanicoach
Life Challenge,Sin definir,MAR25,Plataforma digital de retos y juegos,life-challenge
CodeCrypto,Educación,SEPT24,"Formación online para programadores en IA, blockchain y Web3",codecrypto
Tattoonie,Sin definir,MAR25,Accesorios temporales para la piel: moda y activación de marca.,tattoonie
Dialgo,Sin definir,MAR25,Plataforma de agentes inteligentes para la automatización de tareas,dialgo-antes-carton
Onorato AI,Sin definir,SEPT25,Dispositivo inteligente en forma de loro para cuidado de mayores,onorato-ai
Hotlist,HORECA,SEPT24,Externalización del área de recursos humanos para hostelería,hotlist
TailorDoc,Salud,SEPT24,Plataforma internacional para tratamientos de cirugía ortopédica.,tailordoc
Bubbl3s,Sin definir,MAR25,Aire puro para tu bienestar diario,bubbl3s
Portales Ocho,Sin definir,MAR25,Venta física y online de muebles y productos de decoración.,portales-ocho
Archiff,Sin definir,SEPT24,Formación online para el sector creativo,archiff
Hodrop,Sin definir,MAR25,Soluciones para el hidrógeno renovable,hodrop
Madrid Content School,Sin definir,MAR25,Una comunidad vibrante y dinámica.,madrid-content-school
Bodhi,Sin definir,MAR25,Elevando el bienestar con respiración y frío.,bodhi
Yorsio,Construcción,MAR25,Alquiler con opción a compra por habitaciones,yorsio
World Challenge Game,Sin definir,SEPT24,Desarrolladora de videojuegos y entretenimiento,world-challenge-game
Bujia,Sin definir,MAR25,Plataforma para gestión integral de talleres.,bujia
Auth4Art,Sin definir,MAR25,Trazabilidad de obras de arte.,auth4art
Wend,Sin definir,MAR25,La red social del futuro,wend
Oxinity,Sin definir,SEPT24,Academia de idiomas online.,oxinity
Omek Biotech,Sin definir,SEPT24,Plataforma para evaluación de riesgos y prevención de enfermedades,omek-biotech
Clover,Sin definir,MAR25,"Tu propio transporte, sin complicaciones.",clover
Mube,Sin definir,MAR25,Plataforma para compartir coche y gastos.,mube
WeSpeak,Sin definir,SEPT24,Asistente virtual para hotelería,wespeak
LetterBucket,Sin definir,MAR25,"Plataforma para crear, gestionar y monetizar newsletters.",letterbucket
Sopa,IA,MAR25,Sopa automatiza el posicionamiento en Google y en LLMs.,sopa
StockerAI,Sin definir,MAR25,Plataforma para la gestión de la demanda y control de inventarios.,stockerai
Oxygen Gaming,Sin definir,SEPT24,Club de esports,oxygen-gaming
Instituto Seguridad y Futuro,Educación,MAR25,"EdTech para seguridad, emergencias y defensa",instituto-seguridad-y-futuro
CraniaMed,Salud,MAR25,Detectar asimetrías craneales en bebés.,craniamed
Fastfest,Sin definir,MAR25,"Cerveza self-service: cero personal, cero colas y cero mermas.",fastfest
Kodikas Developers,Sin definir,MAR25,Herramienta para la gestión de acreditaciones en eventos.,kodikas-developers
Tekocino,Sin definir,SEPT24,Reparto de comida del día a día para empresas,tekocino
Hutrit,Sin definir,MAR25,Conectamos empresas con talento de calidad de Latinoamérica,hutrit
Masco Beauty,Sin definir,MAR25,Cosméticos de alta calidad para perros y gatos.,masco-beauty
Balteus,Sin definir,MAR25,Redefiniendo el mercado de los cinturones,balteus
The Truth,Educación,MAR25,"Verifica credenciales y experiencia laboral, impulsa empleo.",the-truth
Kpophub,Sin definir,MAR25,Dinamizadora de la comunidad de fans por la cultura coreana.,kpophub
Simbionte,Sin definir,SEPT24,Ayuda a compañías del sector biotech a crecer en digital.,simbionte
Healmind,Sin definir,SEPT24,Datos del día a día de pacientes de salud mental para terapeutas,healmind
matil,Sin definir,MAR25,Estructura cualquier fuente de información: del caos al orden,matil
TU ARROCERO,Alimentación,SEPT24,Elaboración de paellas para entrega y recogida a domicilio.,tu-arrocero
Testualia,Educación,SEPT24,Software de evaluación: exámenes ilimitados desde tu material.,testualia
Sumar Inversión,Finanzas,MAR25,Fintech que conecta ahorro con inversión inmobiliaria desde 100 €,sumar-inversion
FixUP!,Sin definir,MAR25,Nueva forma de aprovechar y proteger tu tecnología.,fixup
Kenko Imalytics,Sin definir,SEPT24,IA al servicio de la radiología para el diagnóstico del cáncer,kenko-imalytics
Bioinfile,Salud,MAR25,Servimos datos biomédicos.,bioinfile
Dataris,Sin definir,MAR25,"Unifica datos de cultivos extensivos: maquinaria, sensores y predicciones",dataris
Tu Plaza Oposiciones,Sin definir,SEPT24,Academia de preparación de oposiciones de magisterio y secundaria,tu-plaza-oposiciones
La Diez Milanesa,Sin definir,SEPT24,Elaboración de milanesa para consumir en local o a domicilio,la-diez-milanesa
LEMA,Turismo,MAR25,La página de quienes organizan eventos.,lema
Additium 3D,Sin definir,MAR25,Additium 3D es un servicio integral de fabricación 3D,additium-3d
Sobox Store,Sin definir,MAR25,Venta online de sofás envasados al vacío.,sobox-sotre
Inertial,Sin definir,SEPT24,Ayudar a las personas a mejorar su estado de salud física,inertial
CatalogueFlow,Sin definir,SEPT24,Potencia el comercio digital.,catalogueflow
Tryners,Salud,MAR25,Software para entrenadores de fuerza,tryners
NeuroBlock,Sin definir,MAR25,Herramienta para implementar el uso de la inteligencia artificial,neuroblock
Marinerob,Sin definir,MAR25,Ingeniería e innovación marina al máximo nivel.,marinerob
SCIENTISTS360,Educación,MAR25,SCIENTISTS360 fortalece el talento que sostiene la innovación.,scientists360
PsAIcoTools,Sin definir,MAR25,IA para potenciar la terapia,psaicotools
MyUrbanScoot,Sin definir,MAR25,Todo para patinetes eléctricos,myurbanscoot
Eara,Sin definir,MAR25,Plataforma de tokenización regulada global.,eara
Wilapp,Sin definir,SEPT24,Control de gestión para centros de belleza.,wilapp
Muemue Home,Sin definir,MAR25,Muebles y decoración para los más pequeños.,muemue-home
Komvo,HORECA,MAR25,Software para atraer y gestionar planes de grupo en restaurantes,komvo
HASLAP,Sin definir,SEPT24,Una app que conecta a runners con clubs y eventos de running.,haslap
Stamp,Sin definir,MAR25,Marketplace que conecta a comercios con turistas internacionales,stamp
Wedify,Sin definir,MAR25,Software de gestión comercial para organizadores de bodas,wedify
QuantumDrive,Deeptech,MAR25,Plataforma de optimización de rutas para vehículos eléctricos.,quantumdrive
Instalzeco,Sin definir,MAR25,Venta de soluciones de energía renovable para hogares.,instalzeco
Mind Makers,IA,MAR25,Aprendizaje para profesionales hiperpersonalizado con IA,mind-makers
Nextbit,Sin definir,MAR25,Nextbit simplifica el acceso a modelos de inteligencia artificial,nextbit
Projectum,Sin definir,SEPT24,Formulario para hacer cotizaciones de obras de forma automática,projectum
Fut.ing,Salud,MAR25,Plataforma de desarrollo para futbolistas,fut-ing
Automix,Alimentación,MAR25,Máquina para automatizar el servicio de bebidas en eventos.,automix
ButterflAI,IA,MAR25,Plataforma de IA que crea contenido optimizado para ecommerce,butterflai
Ajax DNA,Sin definir,MAR25,Medicina personalizada para cada paciente,ajax-dna
Anaimo,Sin definir,MAR25,Empleados y asistentes virtuales con IA y visión artificial,anaimo
Tralli,Sin definir,SEPT24,Servicio de facturación de maletas desde casa.,tralli
Llum Social,Sin definir,MAR25,"Digitalizar la ayuda, multiplicar el impacto.",llum-social
Huming Music,Sin definir,SEPT24,Facilita el proceso de contratación de actuaciones,huming-music
Knockout Couture,Sin definir,MAR25,Marca de ropa centrada en artes marciales.,knockout-couture
Aipha G,Sin definir,SEPT24,Optimización industrial con XR e IA.,aipha-g
Me Renta,Sin definir,SEPT24,Servicio de adelanto de alquileres,me-renta
Lithosport,Sin definir,SEPT24,Mezcla única de algas para la mejora del rendimiento deportivo,lithosport
Lealtad Verde,Sin definir,MAR25,Implementación de máquinas biorrecicladoras SDDR,lealtad-verde
Packar Technologies,Sin definir,SEPT24,Solución digital que unifica cotización y seguimiento logístico B2B,packar-technologies
De flores y floreros,Sin definir,SEPT24,Calzado femenino made in Spain,de-flores-y-floreros
Tornasol Energy,Sin definir,MAR25,Ecommerce de kits solares plug and play.,tornasol-energy
OnGres,Sin definir,SEPT24,OnGres: plataforma para Postgres en producción,ongres
Dam Squad,Sin definir,MAR25,Soluciones enfocadas en talentos remotos altamente cualificados.,dam-squad
Keemetrix,Sin definir,MAR25,Automatización de gestión para empresas de trasteros,keemetrix
Silverlight,Sin definir,SEPT24,Red que conecta profesionales con especialistas,silverlight
La Folie,Retail,SEPT24,Nuestra misión es vestir a las mujeres,la-folie
Clipbeat,Sin definir,SEPT24,Plataforma para crear oportunidades musicales,clipbeat
MealLink,Sin definir,MAR25,Pases diarios todo incluido para viajeros,meallink
Single and Jam,Sin definir,MAR25,Marketplace de participaciones en royalties.,single-and-jam
AWA Sunglasses,Sin definir,SEPT24,Marca de gafas de sol que flotan,awa-sunglasses
Barco Compartido,Sin definir,MAR25,Tu propio barco en multipropiedad,barco-compartido
TOLVIA,IA,MAR25,Agentes de voz para atención al cliente y procesos comerciales,tolvia
Cloosely,Ecommerce,MAR25,"Conoce a tus clientes, personaliza cada mensaje y escala ventas con IA",cloosely
Live Fresh Biotech,Sin definir,MAR25,Soluciones de frío confort sostenibles de alta duración,live-fresh-biotech
Connect24,Deeptech,MAR25,Monitorización de instalaciones en tiempo real,connect24
Nomad Bee,Sin definir,SEPT24,Agencia de viajes en grupo,nomad-bee
Dymo,Sin definir,MAR25,Infraestructura de pagos internacionales.,dymo
Neare Clothes,Sin definir,MAR25,Marca vintage y comunidad de moda consciente y sostenible,neare-clothes
La Pizarra del DT,Sin definir,SEPT24,Cursos para convertirte en un profesional del mundo del fútbol,la-pizarra-del-dt
coLanguage,Sin definir,SEPT24,Clases de conversación con materiales didácticos para idiomas,colanguage
Teal AI,Sin definir,MAR25,Plataforma para encontrar perfiles técnicos.,teal-ai
ActivH20,Sin definir,SEPT25,Marketplace B2B de muebles con impacto,activh20
Procedural Games,Gaming,MAR25,Desarrollo de videojuegos innovadores para plataformas móviles,procedural-games
Psicología y Fútbol,Sin definir,MAR25,Psicología deportiva para futbolistas,psicologia-y-futbol
Hemon Sock,Sin definir,SEPT24,"Desarrollo, personalización y producción de textil deportivo.",hemon-sock
Valencia Violins,Sin definir,MAR25,Venta y reparación de instrumentos de cuerda.,valencia-violins
Simpling,Sin definir,MAR25,Expertos en sampling segmentado,simpling
